M_BH,log_sigma0,log_R_e_sph_eq_kpc,log<Sigma>_e,"GJC23log(M*,gal/M_sun)",GJC23log(sSFR),D_L
9.380211242,2.471453074,0.88525942,2.889337533,11.24,-12.00346274,1.4487063199050798
9.102971119,2.515012345,0.960194796,2.871399479,11.47,-12.47261362,1.6711728427150832
7.591064607,2.296072566,0.538083368,2.906780616,10.64,-11.64788851,1.3654879848908996
8.903089987,2.388509715,1.2397098,2.507698999,11.52,-9.806382631,1.8388490907372552
8.667597357,2.521438846,0.756179517,3.010214806,11.23,-12.72349497,1.2833012287035497
9.649324444,2.424277122,0.798620955,3.029950764,11.39,-15.69103,1.4440447959180762
10.2797881,2.52040492,1.2216458,2.660104079,11.71,-15.23287875,1.8555191556678001
9.614930156,2.492718494,1.150179043,2.611212102,11.39,-15.08897,1.7678976160180906
8.243991495,2.133858125,0.361425613,2.767967667,10.13,-14.43103,1.0334237554869496
8.626649265,2.306360683,0.430993652,3.188065451,10.64,-14.94103,1.0374264979406236
8.376651431,2.375755035,0.474726042,3.067010206,10.63,-12.04907502,1.3856062735983121
8.486884391,2.330819466,0.904715545,2.673497599,11.03,-13.16076828,1.2855573090077739
8.165530387,2.346724509,0.895422546,2.743881284,11.13,-11.72963473,1.3979400086720377
8.632971961,2.288338669,0.662795595,2.752286799,10.56,-14.86103,1.3443922736851108
9.935784689,2.488635311,1.476472224,2.028310434,11.45,-14.79678749,1.9420080530223132
9.473661779,2.390139938,0.921721842,2.798623343,11.3,-15.60103,1.3443922736851108
9.205902972,2.472361457,0.836229143,2.885613505,11.17,-11.98530857,1.4828735836087537
8.967248359,2.466363368,0.270306091,3.354655847,10.47,-14.77103,1.4014005407815442
8.949362745,2.443403817,1.042693618,2.592637792,11.14,-15.44103,1.2479732663618066
9.359828843,2.450218306,1.00635906,2.812339968,11.41,-12.07958623,1.1958996524092338
7.948528026,2.251784177,0.430349226,2.963662749,10.53,-12.04855737,1.1789769472931695
9.85308953,2.509202522,0.848503174,3.051074032,11.31,-12.01996539,1.2253092817258628
8.669202453,2.3984782,0.705564391,2.675096484,10.77,-12.11872199,1.1702617153949575
8.586157273,2.357534655,0.883093359,2.581033686,10.89,-11.81959268,1.24551266781415
9.670438916,2.519171464,0.798375758,3.040975482,11.24,-12.02277934,1.209515014542631
8.096544137,2.218062618,1.086359831,2.029802214,10.65,-12.10967053,1.0530784434834197
10.29216588,2.594436751,1.433238438,2.376167091,11.72,-15.02103,1.9836262871245345
8.854217576,2.400365273,0.63818964,3.156956518,11.02,-11.9361392,1.5998830720736879
9.863471037,2.536987475,1.014083504,2.871554085,11.64,-12.46739707,1.7558748556724915
8.198834386,2.261476989,0.764728927,2.521646317,10.7,-15.00103,1.3891660843645326
9.037788561,2.375132994,0.981863891,2.641140785,11.18,-15.48103,1.380211241711606
8.77237707,2.494599796,1.161613534,2.659333051,11.51,-11.49229903,2.0195316845312554
9.348897423,2.445495227,0.765790706,3.04066011,11.22,-11.69031305,1.791690649020118
9.354518696,2.501196242,1.107820267,2.521714896,11.29,-15.11390874,1.6683859166900001
9.095861513,2.46155855,1.322382641,2.360686277,11.44,-14.62708664,2.0342272607705505
