M_BH,M_sph,R_e,sSFR
8.260745,10.764196,0.7956567,-11.77715
8.374635,10.849147,0.77395105,-13.048239
8.184453,10.725935,0.8240456,-11.599752
8.789677,11.084252,0.8169653,-12.572937
8.858907,11.266373,0.9443395,-14.637902
8.72479,10.816822,0.8602272,-11.5589905
8.752086,11.2742405,1.0374757,-13.978986
8.665615,10.937236,0.7111379,-12.753742
8.49248,10.992695,0.8699774,-11.922835
8.736574,10.885315,1.0026852,-12.306871
8.819108,11.1404915,0.9357282,-12.584289
8.693297,11.188058,1.0611428,-14.899378
8.452232,10.811492,0.9371358,-11.710456
8.28324,10.615549,0.6720543,-12.181683
8.546949,10.896209,0.71874857,-13.125439
8.783693,11.078852,0.93901515,-11.656889
8.81211,11.036861,0.9550978,-12.667575
8.455571,10.859358,0.7335666,-13.72437
8.859093,10.988037,1.0094755,-15.072145
8.457851,10.954839,0.87616175,-12.192237
8.605264,11.234389,0.9224449,-12.660336
9.338449,11.742446,1.1930373,-11.851204
8.750671,11.074605,0.64258593,-13.385361
8.888371,11.297448,0.76665765,-12.792094
8.009379,10.974667,0.68042445,-12.625649
8.348027,10.310296,0.91053545,-12.53437
8.300343,10.732818,0.62783074,-12.869623
7.6596937,10.603912,-0.53201795,-12.616219
8.6793585,11.200891,0.9117954,-15.166264
8.273487,10.740593,0.60934687,-13.260586
8.458548,10.7247505,0.5279604,-12.32193
8.638392,11.114352,0.98252505,-12.96551
8.619463,11.006198,0.67036664,-13.197046
8.84529,11.2161455,0.78620124,-13.076214
8.152056,10.361033,0.81761265,-12.684454
8.807383,11.275401,0.7533797,-12.879399
8.270429,10.785085,0.8102269,-11.799573
8.9678,11.2250185,0.63582927,-12.566974
9.1736145,11.305765,0.8959459,-12.894689
8.533521,10.948498,0.7593192,-12.7186985
8.312217,10.807844,0.7796409,-14.680498
8.53313,10.916664,0.55139554,-13.519525
9.263972,11.153154,0.9952936,-12.53646
8.090059,10.878653,0.5184525,-14.524836
7.8965955,10.049175,0.91202503,-11.745721
8.389936,10.652263,0.7833268,-12.106186
8.415902,11.026158,0.7559713,-12.381394
8.246968,10.79985,0.8114097,-11.598672
