M_BH,M_sph,R_e,sSFR
8.308757,10.638209,0.39203477,-9.830148
8.282331,10.822134,0.7558707,-9.924162
8.901885,11.436456,0.48404533,-9.91154
8.200839,10.73819,0.82885647,-9.817808
8.154282,10.749349,0.41895792,-9.911707
8.846084,11.268686,1.0239455,-10.951193
8.043494,10.779759,0.3502546,-9.786983
9.556618,11.376275,0.86558306,-9.878852
8.183176,10.771518,0.41982532,-9.728831
8.124748,10.538467,0.49369895,-9.923514
8.112806,10.7129755,0.4332072,-9.928145
6.3975043,7.5588107,0.41593474,-9.271949
8.020835,10.707735,0.16042972,-9.864235
9.502488,11.7159605,0.70258653,-9.844284
8.128898,11.20057,0.28488994,-9.937874
9.05902,11.120605,0.34266615,-9.927458
8.573226,10.986883,0.5132996,-9.8153305
8.157432,10.220081,0.4557572,-9.917288
8.14822,10.3121195,0.29820332,-9.790092
8.329802,10.574395,0.20204543,-9.92587
7.8443403,9.980326,0.12614714,-9.750293
8.789261,11.3043785,0.26615122,-9.938881
8.395421,10.884264,0.06879871,-9.937069
8.169805,10.805113,0.386139,-9.736353
8.925744,10.742509,0.8041698,-9.835353
9.2210455,11.283889,1.03365,-9.824084
8.343616,10.98392,0.4549061,-9.780619
8.307942,10.99689,0.1312147,-9.971391
7.994537,10.35648,0.37854892,-9.875274
8.979567,11.224592,1.0623527,-10.000935
8.599817,10.902324,0.9577547,-9.782534
8.01173,10.162707,0.35648936,-9.907399
8.559049,11.249286,0.0810024,-9.785066
8.001897,11.021211,0.351929,-9.783515
8.096038,10.885924,0.36670148,-9.7782
8.0695,10.798139,0.44787437,-9.930006
8.299312,10.769643,0.58184445,-10.035411
8.8612585,10.900446,0.5749661,-9.939518
8.216269,10.7669115,0.051172957,-9.753977
8.127388,11.062275,0.40391532,-9.800863
8.796305,11.18854,1.0154034,-9.891271
9.275787,11.352102,0.5879493,-9.983507
8.82936,11.184693,0.6320839,-9.912289
8.327977,10.297456,0.7430577,-9.797495
7.8950644,10.525443,0.18394588,-10.384755
9.059924,11.153576,0.9291562,-9.995181
8.4225855,10.876427,0.4361425,-9.920845
8.462163,10.977132,0.8920168,-10.460266
8.972239,11.170805,0.4638576,-10.004312
10.136836,12.097162,0.8257368,-9.576319
7.955669,10.897985,0.34919447,-9.81645
8.228526,10.974864,0.15589817,-9.950829
8.442902,10.990007,0.4150117,-9.820266
9.473786,11.36559,0.53389907,-9.960909
9.936523,12.113853,0.79887205,-9.976172
9.847299,11.6734085,0.6661137,-9.857975
8.118858,11.052001,0.7068,-10.426154
8.185674,11.175733,0.42321116,-9.891557
8.154924,10.5981045,0.046626475,-9.925801
8.456074,10.761986,0.63362366,-9.861824
7.629136,10.155597,0.2691035,-10.051501
8.545654,11.308566,0.35419464,-9.858044
8.3716545,10.926768,0.35755247,-10.155693
7.471589,9.9123335,0.34353358,-10.491074
7.8175306,10.675585,0.043212567,-10.627853
7.6648293,10.733878,-0.3698657,-10.52998
9.592725,11.753947,1.086653,-9.91871
8.297455,10.938374,0.314964,-9.899113
8.310399,10.910421,0.42211044,-9.958181
8.313837,10.802139,0.3816912,-9.985823
8.358124,10.473416,0.33575398,-9.962007
8.572403,11.08912,0.3851215,-9.970693
8.477593,11.04795,0.4712418,-9.893256
8.763523,11.157148,0.9932976,-10.150728
8.377868,10.827946,0.33087295,-9.97184
9.145012,11.315535,0.53199357,-10.031333
9.473503,11.755166,0.5422949,-9.871976
8.409682,10.968217,0.32461444,-10.008004
8.251937,10.653962,0.6058593,-9.900241
9.363069,11.423888,0.54710263,-9.781109
8.893962,11.403784,0.46765083,-9.805603
7.9985533,10.680914,0.377473,-10.470769
7.7942386,10.668146,0.5154663,-9.664902
8.630068,10.777028,0.36948267,-9.67221
9.929117,11.868068,0.7408691,-10.007409
10.379303,12.113886,0.8012903,-9.499514
8.843864,11.262461,0.44569558,-9.860142
8.095582,10.943145,0.25699607,-9.96702
8.694564,11.217082,0.3983994,-9.899495
7.9979777,10.025476,0.6238972,-9.827002
