M_BH,M_sph,R_e,sSFR
7.427196,9.758216,0.67380935,-10.938993
6.480388,10.097419,-0.29191166,-10.064444
7.7893887,10.366472,0.1194884,-10.177531
6.480388,10.097419,-0.29191166,-10.064444
8.613922,11.014937,-0.036971793,-11.67059
6.9332767,10.305204,0.2619333,-9.900931
6.65897,9.88815,-0.86291647,-10.3695545
7.467551,11.041693,0.21181807,-9.971987
6.480388,10.097419,-0.29191166,-10.064444
6.9905305,10.499795,-0.058288336,-9.983106
7.1331835,10.423454,0.20821474,-9.794695
8.154901,10.2413,0.78506696,-11.866925
6.7578535,10.020555,0.10275887,-9.577264
7.565255,10.345505,0.33275396,-10.113606
7.172168,10.291879,0.2538456,-9.881571
7.116645,10.379661,0.12824343,-9.895394
7.3857265,10.323692,0.16651142,-9.856348
6.9332767,10.305204,0.2619333,-9.900931
7.7893887,10.366472,0.1194884,-10.177531
7.076462,9.758047,0.05472387,-10.127482
7.2889447,10.570271,-0.19364308,-9.982365
7.579663,10.856285,0.2310812,-9.870964
7.579663,10.856285,0.2310812,-9.870964
7.5873895,9.87374,0.36124325,-10.015138
7.57131,10.232036,0.13324791,-9.831017
7.085181,9.407395,-1.1370094,-9.689526
7.4120483,10.257055,0.28152156,-9.921196
6.924387,10.190093,0.048327886,-9.931624
7.515918,10.425762,0.26134688,-10.162518
8.190027,10.563148,0.38549954,-13.42088
7.5409408,10.789382,-0.049161006,-9.95433
7.1837883,10.835797,0.011529185,-9.985411
7.2552757,10.060094,0.0735039,-9.802558
6.9523787,10.347668,0.12631693,-9.939163
7.389015,10.029189,0.21607696,-9.845331
7.116645,10.379661,0.12824343,-9.895394
6.6608872,9.933361,-0.04701338,-9.867712
6.7748766,10.505317,0.09238962,-9.797831
7.137388,9.713372,0.12961513,-10.530978
6.778579,9.921908,-0.05047271,-10.132124
7.374748,10.426435,0.3637139,-9.796941
7.7970996,9.898897,0.3113534,-10.041154
7.14155,9.788979,0.21740393,-9.81111
8.160575,10.149758,0.49854353,-12.014088
6.9501224,10.103656,-0.17703943,-9.79054
8.10478,10.320123,0.16404308,-11.945283
8.0565195,10.160461,-0.14121044,-12.252419
7.7718315,9.888345,0.3304944,-9.713177
7.586315,10.650126,0.0023475585,-10.071051
6.9584365,9.1855955,-0.54626536,-10.013254
7.571915,10.670504,0.3267706,-9.977812
7.3424735,10.844686,0.08219461,-10.011346
7.914383,10.470495,0.21962562,-11.296777
7.0613747,10.458126,0.04140884,-9.853647
7.873588,10.030856,0.16992855,-11.117137
6.444429,10.388561,0.0640952,-10.065441
7.0959435,9.805529,0.1921434,-9.580971
7.458591,9.462918,0.55145603,-8.878474
6.3754907,9.353076,-0.08628162,-9.816908
6.8643312,9.957087,0.08967756,-10.036157
7.453106,10.076077,0.06904415,-9.768802
7.9093843,10.317633,0.5005037,-11.242083
7.314162,10.396544,0.12333133,-9.798509
7.4066496,10.586146,0.074937955,-9.712626
7.3698335,10.531989,0.24429448,-9.595177
7.9164405,10.003332,0.2351075,-10.915086
7.0934224,9.862805,-0.031491917,-10.073976
6.9439864,9.535424,-0.23114374,-9.954754
7.2057943,9.861264,-0.06561841,-10.099243
7.327744,10.522301,0.0050697774,-9.922149
7.694656,9.906635,-0.27838424,-9.97969
7.144797,9.916203,0.14424741,-9.883699
7.09508,10.219178,-0.06373322,-9.819383
7.6805005,10.201917,-0.5963538,-10.100798
8.116098,10.196086,-0.31611267,-12.552736
7.728979,10.447727,-0.094159454,-9.997233
7.7006907,10.426508,-0.024189467,-9.868766
7.624346,10.5558815,-0.10735897,-9.970126
6.860183,10.460637,0.13302943,-9.858192
7.380206,9.940361,0.16113862,-9.738486
8.360248,10.7653675,0.15784582,-11.129262
7.288139,9.988761,0.09644606,-9.736738
7.949516,10.15584,0.42955947,-11.670877
6.901342,9.867335,-0.09123422,-9.97024
8.273494,10.688469,0.5443078,-10.819418
7.1812544,9.787741,0.10960504,-9.699694
7.4327717,10.572223,0.19352534,-9.984148
6.749101,9.952227,-0.33428574,-9.85587
6.8659706,9.653879,-0.08568561,-9.966228
6.609126,10.287682,0.07934082,-9.885644
6.808448,9.997174,-0.010678698,-9.872433
7.0272446,10.217824,-0.34790927,-9.823478
6.6548605,9.302388,-0.2565479,-9.766749
7.797776,10.462786,0.18903436,-10.535353
7.1965795,10.441581,0.18712921,-9.87339
6.6441216,9.699128,-0.05046867,-10.117027
8.542664,10.824007,0.64259857,-13.228522
8.33466,10.239884,0.43099558,-12.244244
7.527881,10.591566,0.2596414,-9.950397
7.5896316,10.126497,-0.11635664,-10.333847
