Galaxy,M_BH,log_sigma0,logRh,log<Sigma>_h,"GJC23log(M*,gal/M_sun)",GJC23log(sSFR),GJC23W2-W3
NGC 0404,5.74,1.538950562,-0.4376907,2.751098137,8.85,-10.36427857,1.28
NGC 0524,8.677183839,2.37417991,0.471615967,2.884839338,11.1,-12.15998184,0.52
NGC 1023,7.62324929,2.294686624,0.239409239,3.475938266,10.61,-12.34992861,0.18
NGC 1194,7.820198989,2.17,0.01296946,3.712540579,10.46,-9.868501315,2.83
NGC 1316,8.156998317,2.348421698,0.950257979,2.936295405,11.43,-11.96180041,0.65
NGC 1332,9.15548582,2.469262225,0.331849163,3.589118236,10.88,-11.69987412,0.42
NGC 1374,8.758880366,2.253749808,0.265113369,2.746693532,10.33,-14.63103,0.12
NGC 2549,7.142582755,2.149557792,-0.092473558,3.50163818,9.97,-11.97,0.33
NGC 2778,7.136668167,2.187605315,0.061004157,3.130747616,9.89,-11.70247928,0.12
NGC 2787,7.596069628,2.283120235,0.098462083,2.538014693,9.8,-11.89151498,0.59
NGC 3115,8.939837767,2.415357362,0.17076597,3.691405315,10.63,-12.59657624,0.14
NGC 3245,8.296730015,2.316033282,0.189576828,3.447209835,10.45,-11.22185639,1.09
NGC 3384,7.022424846,2.158694118,0.232284508,3.309838468,10.37,-11.84625353,0.24
NGC 3489,6.759700121,2.017784353,0.3178334,2.433243892,10.14,-11.23963287,1.16
NGC 3665,8.759667845,2.332680789,0.658280525,3.159203114,11.13,-11.2726675,1.33
NGC 3998,8.418774637,2.423393345,0.024358078,3.642333033,10.3,-11.18472241,1.39
NGC 4026,8.255272505,2.239274447,0.097524546,3.365030439,10.18,-13.22575749,0.52
NGC 4339,7.62800556,2.045166448,0.159996745,3.038899498,10.02,-11.15786862,0.67
NGC 4342,8.649419525,2.381295623,-0.304955202,4.104892353,10.1,-14.40103,0.31
NGC 4350,8.8684625,2.256621546,0.008283161,3.742716935,10.35,-12.05333481,0.51
NGC 4371,6.832055183,2.109713505,0.330016826,3.106305424,10.38,-12.02397414,0.64
NGC 4429,8.178715403,2.239149265,0.477024465,3.150138746,10.75,-11.58983171,0.86
NGC 4434,7.843154885,2.065542371,0.014240263,3.358914102,10.03,-14.33103,0.0
NGC 4459,7.826940958,2.235124264,0.236083302,3.404468186,10.56,-11.11972079,1.17
NGC 4526,8.656398758,2.35148709,0.35069479,3.548554666,10.84,-11.38181556,1.14
NGC 4564,7.901041424,2.1935698,-0.026111752,3.520919902,10.12,-12.5402164,0.31
NGC 4578,7.276081011,2.048907701,0.213827214,2.987107235,10.05,-14.35103,-0.24
NGC 4596,7.897234242,2.147892645,0.498482783,2.955903638,10.54,-11.84103,0.34
NGC 4742,7.132996732,2.005823753,-0.261989309,3.891460732,9.99,-11.79134291,0.4
NGC 4762,7.238068318,2.149926959,0.367757343,3.515782603,10.56,-14.86103,0.18
NGC 5018,7.997340366,2.32621293,0.463762264,3.601599645,11.1,-11.40381841,0.89
NGC 5128,7.648616762,2.014478535,0.482657146,3.297032774,10.86,-10.60789975,2.53
NGC 5252,9.031157982,2.271027994,0.513146755,3.579318867,11.05,-10.29806687,2.27
NGC 5813,8.828326269,2.372930405,0.742666929,2.943333171,11.1,-12.49469495,0.03
NGC 5845,8.411512816,2.36272745,-0.351493819,4.21619824,10.14,-11.74730305,0.53
NGC 6861,9.296231113,2.587980211,0.287717666,3.651274907,10.84,-11.81346674,0.76
NGC 7332,7.060917788,2.107142106,0.214157963,3.601680157,10.48,-11.78364361,0.46
NGC 7457,6.957675685,1.83231727,0.290949683,2.82291322,9.92,-11.74390874,0.27
