Galaxy,M_BH,log_sigma0,logRh,log<Sigma>_h,"GJC23log(M*,gal/M_sun)",GJC23log(sSFR),GJC23W2-W3
Circinus,6.21851675,2.171433901,0.188818763,3.336844999,10.04,-9.37261243,4.02
IC 2560,6.512288563,2.135100834,0.570520973,2.747268183,10.43,-10.0082316,3.38
NGC 0224,8.151957579,2.187097501,0.671047021,3.805946792,10.71,-10.94128792,2.08
NGC 0253,6.99626143,1.981320173,0.230688105,3.453201148,10.43,-9.852083305,3.81
NGC 1097,8.379211714,2.290034611,0.647378373,3.313408672,11.22,-10.03992002,3.41
NGC 1300,7.86332286,2.337479228,0.741321735,2.315215523,10.56,-10.40508935,2.91
NGC 1320,6.772184402,2.039810554,0.008147974,3.744988769,10.13,-9.683043652,3.34
NGC 1398,8.033,2.292566171,0.705559347,3.031702032,11.17,-10.87983178,2.14
NGC 2273,6.946570769,2.149342299,0.451967408,2.978928421,10.43,-10.02181093,3.14
NGC 2960,7.069243652,2.220108088,0.423913293,3.272248707,10.72,-10.41712816,2.98
NGC 2974,8.230448921,2.365806101,0.370274269,3.178246702,10.61,-11.27554625,1.36
NGC 3031,7.831027367,2.180584597,0.33115017,3.178776411,10.57,-10.99899033,1.8
NGC 3079,6.28172484,2.243013231,0.299770313,3.277345728,10.41,-9.844636312,3.64
NGC 3227,7.248565121,2.103187749,0.669843974,2.830096619,10.65,-10.11229421,3.09
NGC 3368,6.892425242,2.074962643,0.376887939,3.134989888,10.55,-10.80562877,2.13
NGC 3627,6.943867278,2.102124856,0.413054716,3.133875601,10.63,-10.06245608,3.44
NGC 4151,7.290949879,1.963079161,0.153963998,3.507497605,10.53,-9.88977703,2.82
NGC 4258,7.614545703,2.123067244,0.552028517,2.819488817,10.56,-10.58969962,2.44
NGC 4303,6.777701437,1.978043494,0.674440575,2.713195899,10.71,-9.864102354,3.87
NGC 4388,6.94910287,1.997779431,0.179397134,3.29033397,10.12,-9.851820002,3.15
NGC 4395,5.617572158,1.42258984,0.745159195,1.121529523,9.03,-9.901277716,2.2
NGC 4501,7.313964977,2.220631019,0.537056836,3.148702501,10.89,-10.34868291,3.05
NGC 4594,8.80845974,2.353473829,0.457350496,3.319105372,11.06,-11.54545225,0.9
NGC 4699,8.279168363,2.283934113,0.386429271,3.576320488,11.06,-10.85756618,2.2
NGC 4736,6.833668578,2.030761591,-0.025837023,3.755643233,10.38,-10.46286225,2.71
NGC 4826,6.198129619,1.987442805,0.262034349,3.316510669,10.54,-10.68194428,2.21
NGC 4945,6.117794437,2.069889997,0.256048188,3.145015366,10.23,-9.909625198,3.56
NGC 7582,7.744292983,2.073315021,0.27030025,3.534945548,10.59,-9.637958659,3.29
UGC 3789,7.073984272,2.029383778,0.484763278,2.988372604,10.51,-10.19375699,3.22
